tool_name,condition,total_tools,valid_packages,valid_rate,avg_examples,avg_template_fields,avg_semantic_hint_entries
create_directory,raw_mcp,1,1,1.0,0.0,0.0,0.0
create_directory,schema_only,1,1,1.0,1.0,1.0,0.0
create_directory,autoskill_base,1,1,1.0,2.0,1.0,0.0
list_directory,raw_mcp,1,1,1.0,0.0,0.0,0.0
list_directory,schema_only,1,1,1.0,1.0,1.0,0.0
list_directory,autoskill_base,1,1,1.0,2.0,1.0,0.0
read_text_file,raw_mcp,1,1,1.0,0.0,0.0,0.0
read_text_file,schema_only,1,1,1.0,2.0,3.0,0.0
read_text_file,autoskill_base,1,1,1.0,2.0,3.0,0.0
search_files,raw_mcp,1,1,1.0,0.0,0.0,0.0
search_files,schema_only,1,1,1.0,2.0,3.0,0.0
search_files,autoskill_base,1,1,1.0,2.0,3.0,0.0
write_file,raw_mcp,1,1,1.0,0.0,0.0,0.0
write_file,schema_only,1,1,1.0,2.0,2.0,0.0
write_file,autoskill_base,1,1,1.0,2.0,2.0,0.0
